trial,target_index,expected_sample,expected_ms,expected_m,sh_detected,sh_norm_amp,sh_false_alarms,rn_detected,rn_norm_amp,rn_false_alarms
0,0,20,0.0004,60.0,True,1.2850696211381782,3,True,0.7869742711958727,5
0,1,24,0.00048,72.0,True,1.6063370264227228,3,True,0.9837178389948409,5
0,2,60,0.0012,180.0,True,1.6993375341235717,3,True,1.746183771725342,5
1,0,20,0.0004,60.0,True,0.8823231012471292,3,True,1.1205775647560308,7
1,1,24,0.00048,72.0,True,1.1029038765589114,3,True,1.4007219559450383,7
1,2,60,0.0012,180.0,True,1.6254553078221115,3,True,2.0287279389942485,7
2,0,20,0.0004,60.0,True,1.0837154994392835,4,True,0.8471268794453943,7
2,1,24,0.00048,72.0,True,1.3546443742991043,4,True,1.0589085993067429,7
2,2,60,0.0012,180.0,True,1.8901201915786408,4,True,1.566087917729294,7
3,0,20,0.0004,60.0,True,0.9400863599539422,5,True,0.9285017567015567,3
3,1,24,0.00048,72.0,True,1.1751079499424277,5,True,1.1606271958769458,3
3,2,60,0.0012,180.0,True,1.7080582367696873,5,True,1.4359780698398468,3
4,0,20,0.0004,60.0,True,0.9662953889566435,5,True,0.8821498018906127,4
4,1,24,0.00048,72.0,True,1.2078692361958043,5,True,1.1026872523632658,4
4,2,60,0.0012,180.0,True,2.03645831515836,5,True,1.390677056651779,4
5,0,20,0.0004,60.0,True,1.1572653002377087,6,True,1.0386630703285984,8
5,1,24,0.00048,72.0,True,1.4465816252971357,6,True,1.2983288379107478,8
5,2,60,0.0012,180.0,True,1.7760499094666231,6,True,1.6235664117641044,8
6,0,20,0.0004,60.0,True,1.054655173771323,3,True,1.1513632020133626,6
6,1,24,0.00048,72.0,True,1.3183189672141538,3,True,1.4392040025167032,6
6,2,60,0.0012,180.0,True,2.046491736844761,3,True,1.823150548324054,6
7,0,20,0.0004,60.0,True,1.0796451116412746,6,True,0.8812536545135052,3
7,1,24,0.00048,72.0,True,1.3495563895515932,6,True,1.1015670681418814,3
7,2,60,0.0012,180.0,True,2.15085054033098,6,True,1.5429995265349818,3
8,0,20,0.0004,60.0,True,1.0856380872105766,4,True,1.0198604427167197,4
8,1,24,0.00048,72.0,True,1.3570476090132206,4,True,1.2748255533958996,4
8,2,60,0.0012,180.0,True,1.6312520179032106,4,True,1.5322285981285597,4
9,0,20,0.0004,60.0,True,1.1761728781868328,4,True,0.7407972222704341,7
9,1,24,0.00048,72.0,True,1.470216097733541,4,True,0.9259965278380425,7
9,2,60,0.0012,180.0,True,1.8146723876133175,4,True,1.69099225970668,7
10,0,20,0.0004,60.0,True,0.9867377668962759,6,True,0.7484915124720133,5
10,1,24,0.00048,72.0,True,1.2334222086203448,6,True,0.9356143905900166,5
10,2,60,0.0012,180.0,True,1.4218189475476801,6,True,1.4318049519521272,5
11,0,20,0.0004,60.0,True,1.005115670155619,5,True,1.1604690124303585,6
11,1,24,0.00048,72.0,True,1.2563945876945237,5,True,1.450586265537948,6
11,2,60,0.0012,180.0,True,1.5754846859374707,5,True,1.317039799335451,6
12,0,20,0.0004,60.0,True,0.9913959376459414,4,True,0.9489255383440018,6
12,1,24,0.00048,72.0,True,1.2392449220574266,4,True,1.1861569229300022,6
12,2,60,0.0012,180.0,True,1.7283491482055866,4,True,1.6197994321517832,6
13,0,20,0.0004,60.0,True,0.9573159258390194,6,True,1.0256900951250154,6
13,1,24,0.00048,72.0,True,1.1966449072987742,6,True,1.2821126189062693,6
13,2,60,0.0012,180.0,True,1.682426832141982,6,True,1.7188567397838221,6
14,0,20,0.0004,60.0,True,1.10511415848902,4,True,1.0014983810746683,6
14,1,24,0.00048,72.0,True,1.381392698111275,4,True,1.2518729763433352,6
14,2,60,0.0012,180.0,True,1.6574202849052067,4,True,1.7843693380456715,6
15,0,20,0.0004,60.0,True,0.9653229339012781,8,True,0.9275416041765784,8
15,1,24,0.00048,72.0,True,1.2066536673765975,8,True,1.159427005220723,8
15,2,60,0.0012,180.0,True,1.9183532147381441,8,True,1.5440116485643727,8
16,0,20,0.0004,60.0,True,0.9541837368416402,8,True,1.1569009965941066,4
16,1,24,0.00048,72.0,True,1.19272967105205,8,True,1.4461262457426332,4
16,2,60,0.0012,180.0,True,1.3442620587265635,8,True,1.5580441947761587,4
17,0,20,0.0004,60.0,True,1.1043997351059,4,True,0.9458287689311398,6
17,1,24,0.00048,72.0,True,1.380499668882375,4,True,1.1822859611639247,6
17,2,60,0.0012,180.0,True,1.6213440260356429,4,True,1.6166850155569528,6
18,0,20,0.0004,60.0,True,1.1134522788159107,4,True,0.6357032776657366,4
18,1,24,0.00048,72.0,True,1.3918153485198883,4,True,0.7946290970821708,4
18,2,60,0.0012,180.0,True,1.5785827967828037,4,True,1.2668039099975559,4
19,0,20,0.0004,60.0,True,0.9638946580423273,6,True,1.0652632050287478,6
19,1,24,0.00048,72.0,True,1.204868322552909,6,True,1.3315790062859347,6
19,2,60,0.0012,180.0,True,1.7057817527098917,6,True,1.5081802814130427,6
20,0,20,0.0004,60.0,True,0.9551457355671891,4,True,1.0691707012856113,9
20,1,24,0.00048,72.0,True,1.1939321694589862,4,True,1.336463376607014,9
20,2,60,0.0012,180.0,True,1.7485406359207953,4,True,2.4032867329562704,9
21,0,20,0.0004,60.0,True,0.892410084188099,6,True,0.8002020313153322,7
21,1,24,0.00048,72.0,True,1.1155126052351236,6,True,1.0002525391441652,7
21,2,60,0.0012,180.0,True,1.4839888157755081,6,True,1.6563666085776896,7
22,0,20,0.0004,60.0,True,0.9696504673000745,5,True,0.919390788786941,4
22,1,24,0.00048,72.0,True,1.212063084125093,5,True,1.1492384859836762,4
22,2,60,0.0012,180.0,True,1.4853360771480417,5,True,1.387371111208644,4
23,0,20,0.0004,60.0,True,1.0628292761546492,3,True,0.9317868084056782,7
23,1,24,0.00048,72.0,True,1.3285365951933115,3,True,1.1647335105070977,7
23,2,60,0.0012,180.0,True,1.7690911885244158,3,True,1.5599792957725158,7
24,0,20,0.0004,60.0,True,1.0412753339147218,5,True,0.9017236570526312,6
24,1,24,0.00048,72.0,True,1.3015941673934022,5,True,1.127154571315789,6
